"nom","id_escalier","type_esc","nb_marche","rampe","etage","etage","transport","compatibilite_pmr","localisation"
"Invalides ",1512724,"EF",8,"OUI",-1,,,,"POINT (1649699.5906575464 8184657.681169158)"
"Invalides ",1512731,"EF",6,"OUI",-1,,,,"POINT (1649699.9037037203 8184709.415267213)"
"Invalides ",1512723,"EF",18,"OUI",-1,,,,"POINT (1649688.003871997 8184704.388146742)"
"Invalides ",1512734,"EF",21,"OUI",-1,,,,"POINT (1649683.9403754156 8184660.324315993)"
"Villejuif Paul Vaillant-Couturier",1872815,"EF",0,"OUI",0,,,,"POINT (1653602.5720217917 8177561.505546261)"
"Villejuif Paul Vaillant-Couturier",1872813,"EF",19,"OUI",0,,,,"POINT (1653601.7737531457 8177564.907899831)"
"Villejuif Paul Vaillant-Couturier",1872812,"EF",19,"OUI",0,,,,"POINT (1653600.6396473548 8177569.741575864)"
"Invalides ",1512715,"EF",8,"OUI",-1,,,,"POINT (1649708.535629335 8184716.3695673635)"
"Invalides ",1512706,"EF",17,"OUI",-1,,,,"POINT (1649702.6577022392 8184703.930681824)"
"Invalides ",1512709,"EF",17,"OUI",-2,,,,"POINT (1649707.2412385838 8184694.631609482)"
"Invalides ",1512711,"EF",17,"OUI",-2,,,,"POINT (1649705.2847165156 8184679.616543053)"
"Invalides ",1512732,"EF",9,"OUI",-1,,,,"POINT (1649724.6154769594 8184699.389902802)"
"Invalides ",1512708,"EF",21,"OUI",-1,,,,"POINT (1649682.8666250885 8184648.398853612)"
"Invalides ",1512733,"EF",11,"OUI",-3,,,,"POINT (1649704.2107576705 8184668.290130801)"
"Invalides ",1512699,"EF",21,"OUI",-3,,,,"POINT (1649727.906143124 8184704.632880488)"
"Invalides ",1512712,"EF",21,"OUI",-3,,,,"POINT (1649727.3490716058 8184689.898523534)"
"Invalides ",1512727,"EF",20,"OUI",-1,,,,"POINT (1649713.8066734883 8184739.199558107)"
"Invalides ",1512721,"EF",20,"OUI",-3,,,,"POINT (1649727.2578854787 8184739.741819894)"
"Invalides ",1512728,"EF",19,"OUI",-1,,,,"POINT (1649683.4748925064 8184906.427093025)"
"Invalides ",1512726,"EF",22,"OUI",-1,,,,"POINT (1649669.1299754381 8184718.006790919)"
"Invalides ",1512720,"EF",22,"OUI",-1,,,,"POINT (1649662.1696177677 8184715.903781512)"
"Invalides ",1512718,"EM",0,"OUI",-1,-1,"M","Non","POINT (1649664.328200006 8184715.712000933)"
"Invalides ",1512714,"EF",22,"OUI",-1,,,,"POINT (1649659.9383760195 8184723.160314512)"
